"","DogBreed","Freq","LifespanMedianHorvath","LifespanUpperHorvath","Weight.kg.avg","AROCM","Cor","SD_Age","SD_Methyl","R2","SD_Rage","Breed.Index"
"64","Bull Terrier",10,10.6,17.4,27.21088435,0.2042196543533,0.778017621991138,3.80970981688749,0.0214135019358594,0.605311420128745,0.164623188008274,21
"65","Bullmastiff",10,7.5,13.5,52.15419501,0.339881077996004,0.926767335819546,2.72674001531336,0.0217998826018314,0.858897694742059,0.151865219454935,22
"66","Chow Chow",10,8.7,14.2,26.07709751,0.227969213560517,0.885546207116986,3.88449910970943,0.0195345296149952,0.78419208493928,0.205681410023797,28
"67","Dachshund",10,11.8,19,10.88435374,0.198835442593881,0.840877779761932,4.22901354402602,0.0202211912865618,0.707075440497356,0.167353127978869,31
"68","Flat-Coated Retriever",10,9.8,17.2,29.47845805,0.23846790253474,0.883140084044259,3.70339183872178,0.026029678047231,0.779936408045702,0.161889833831167,39
"69","Giant Schnauzer",10,10,16.9,31.17913832,0.190300754367501,0.833942982508384,4.38223687173571,0.0218296740335967,0.695460898074979,0.194965381133412,43
"70","Greyhound",10,10.1,15.7,29.47845805,0.321978891102521,0.835140668923093,2.59377459827693,0.0191012080255097,0.697459936889311,0.124216972284705,47
"71","Ibizan Hound",10,9,14,21.54195011,0.235000817135299,0.880216710539127,3.74558999951202,0.0172590263727237,0.774781457512321,0.201159505881419,48
"72","Italian Greyhound",10,13.5,18,4.761904762,0.221656838265007,0.886996704191673,4.00166631958905,0.0201578908989653,0.786763153246891,0.167153981603552,51
"73","Mastiff",10,11.7,10.3,77.09750567,0.247427851023568,0.927639979082322,3.74913323316203,0.019838655152917,0.860515930791852,0.273679336678738,58
"74","Miniature Pinscher",10,13,17.9,4.081632653,0.232353703903931,0.941499323534705,4.05200910386166,0.0241027167902948,0.886420976216307,0.170202423819115,60
"75","Newfoundland Dog",10,9,15,56.6893424,0.260359819784109,0.860475089958757,3.30494578876366,0.0352537444846925,0.740417380439531,0.165661443045798,63
"76","Norwich Terrier",10,13.4,16.8,5.442176871,0.180137012289058,0.898031135862366,4.9852671833001,0.0237717284054872,0.806459920978252,0.223114356574476,64
"77","Nova Scotia Duck Tolling Retriever",10,8,15.2,19.27437642,0.245239577346157,0.86506211427918,3.52741642943765,0.023363979709597,0.748332461561165,0.17448636869003,65
"78","Pomeranian",10,9.7,17.3,2.267573696,0.220832165351711,0.858365407183764,3.88695825092635,0.0204542134379356,0.736791172249749,0.168932080965116,71
"79","Rottweiler",10,8.7,16.2,46.48526077,0.208014456789662,0.941940360032353,4.52824469303504,0.0248854515169704,0.887251641857879,0.210166373945746,75
"80","Saluki",10,12,16.3,23.80952381,0.121817030404523,0.472249432933128,3.87671109174889,0.0164703663086402,0.223019526905661,0.178823335566626,77
"81","Samoyed",10,12.5,17,22.10884354,0.19637279073164,0.963328136355758,4.90560903456441,0.0266966251905341,0.928001098294658,0.216966343855127,78
"82","Scottish Terrier",10,11.1,16.7,9.070294785,0.151462128446678,0.710931457805197,4.69379022397323,0.0255959427118867,0.505423537697022,0.211327280355375,80
"83","Shetland Sheepdog",10,12.1,16.5,9.070294785,0.134982667134163,0.713642977016937,5.28692307070526,0.0287896560389971,0.509286298645596,0.240916977475747,81
"84","Siberian Husky",10,12.6,18.1,21.54195011,0.276064544089646,0.877641175990379,3.17911587989142,0.0173836682055697,0.770254033793775,0.132061474676667,82
"85","Soft Coated Wheaten Terrier",10,12.5,17,15.87301587,0.203646844528403,0.915482605798911,4.49544213620863,0.0248771113242656,0.838108401520365,0.198825393021169,84
"86","Standard Poodle",10,12,18,24.94331066,0.161838213672117,0.838232379061389,5.17944655988134,0.0200483311263848,0.702633521306915,0.216351151206405,87
"87","Toy Poodle",10,14.6,18.9,2.267573696,0.188088194794798,0.912601474633464,4.85198699274614,0.0254992464239817,0.832841451503172,0.193021720680517,89
"88","West Highland White Terrier",10,13.1,19.6,7.936507937,0.209443112875647,0.918978315497157,4.38772277053953,0.015789491435219,0.844521144353991,0.168318350872316,91
"89","Whippet",10,11.8,17.4,14.73922902,0.15558084934813,0.783663619288076,5.03701851848448,0.0226763456955847,0.614128668195687,0.217657009700306,92
"90","Bernese Mountain Dog",11,7.9,15,40.81632653,0.193277206179265,0.832989901963425,4.30981965452679,0.0256729622596311,0.693872176773037,0.216031060377283,14
"91","Miniature Poodle",15,13.4,19,5.66893424,0.17692202248258,0.91492563802139,5.17134964422801,0.0193836334891349,0.837088923108848,0.204643832379423,61
"92","Irish Wolfhound",16,6.8,12.7,51.02040816,0.259809684597937,0.929717016095604,3.57845404236709,0.0175227798664337,0.864373730017714,0.211855665287259,50
"93","Portuguese Water Dog",95,11.4,15.3,21.20181406,0.210742780524831,0.863709014220919,4.09840380804481,0.0220182625845108,0.745993261246473,0.201405661607195,72
